Income,Expenditure,Savings,Investments,Risk_Profile,Debt_Level,Age,Employment_Status,Credit_Score,Marital_Status,Geographic_Location,Cluster
141958,98511.89522699667,45288.57598368788,37798.2924465624,Conservative,18526.81756977347,61,Employed,624,Single,Urban,1
166867,122203.89540303037,14498.169309252791,32009.693426851598,Moderate,35531.62643253547,69,Unemployed,450,Married,Urban,1
151932,91803.87882411371,51820.47323935931,5994.40157419227,Moderate,33755.725356045,29,Freelancer,845,Divorced,Urban,1
385838,213530.1634283757,127805.32126926069,24176.103368248576,Moderate,49926.567464875036,33,Freelancer,331,Single,Rural,0
279178,105990.48893418284,94154.94687638659,34272.02611856457,Aggressive,67468.08415785193,54,Unemployed,571,Single,Suburban,2
139879,46377.51421903922,26327.401750026052,38950.26969620188,Conservative,96823.51235261706,33,Employed,667,Single,Suburban,2
130268,46743.35182059676,56908.333085160164,1002.6354892004264,Conservative,14416.326017432822,34,Freelancer,791,Divorced,Rural,1
227892,94274.05491675007,109789.81562313363,44523.47869919449,Conservative,87301.71099410819,48,Freelancer,615,Divorced,Urban,2
74886,35259.118374526406,11080.928661096836,28464.06914752622,Aggressive,28417.800039026242,32,Freelancer,667,Married,Urban,1
157337,77166.6810076611,14108.168247135354,40595.455747995235,Moderate,59137.277000140566,30,Employed,379,Divorced,Urban,2
495602,234499.48057812365,68165.47817876517,40396.90150071417,Moderate,54673.69479838681,57,Freelancer,471,Divorced,Rural,0
450410,188959.4560874852,188833.7000689757,9492.633013548457,Conservative,55694.841862826295,44,Unemployed,557,Divorced,Rural,0
107498,59646.56853865702,38106.975229238786,5508.606012681655,Moderate,72335.86117188129,38,Employed,578,Married,Urban,2
394871,281402.0754220161,132764.04255255696,36064.363448691336,Conservative,38168.83057489959,19,Freelancer,803,Married,Urban,0
408468,179665.37247618407,94277.23724034439,7821.345941080954,Moderate,31909.996323685562,25,Unemployed,790,Married,Urban,0
195203,150539.2866449066,60517.33908532606,42496.874570236185,Aggressive,85283.45731854773,59,Unemployed,636,Divorced,Rural,2
211335,155683.8017027047,39845.8102191863,36309.474193105256,Moderate,22009.50402742703,24,Employed,820,Single,Rural,1
298167,113566.47480311223,78936.74223591687,42091.268218263125,Moderate,18024.603731114308,27,Unemployed,625,Divorced,Suburban,1
61090,42343.79909914545,24856.19918142352,14950.633980467304,Moderate,1560.7436655260876,21,Employed,471,Married,Urban,1
349365,205179.86041172326,171733.41181276238,15829.903020528453,Moderate,21057.778202918675,60,Employed,383,Divorced,Urban,0
84820,49474.46110968986,39833.169724499145,33561.07781731588,Moderate,51853.143331670835,58,Employed,823,Divorced,Suburban,1
282913,140189.44061253866,133036.91696980735,1572.297752947377,Moderate,53850.887301411356,53,Unemployed,780,Single,Urban,0
341879,188230.54310367315,78974.28171060816,36324.83731687113,Conservative,25442.049119553434,52,Employed,843,Single,Suburban,0
214027,106711.59109842087,55851.51128985213,41789.15354273006,Conservative,7227.417004119985,60,Employed,717,Divorced,Rural,1
347069,197782.9301301973,127560.32712207374,20758.1793302052,Moderate,74464.07963452062,20,Unemployed,638,Married,Suburban,0
272709,167436.51547078637,126805.96732812196,38243.941504423434,Moderate,75797.53485622998,35,Employed,619,Divorced,Suburban,0
219041,139562.39002982219,24948.20405323299,8730.545849113098,Conservative,99783.63962915615,68,Freelancer,603,Divorced,Rural,2
287455,162768.6906035849,53727.88023490096,16113.019690974234,Moderate,90002.95705347176,63,Unemployed,571,Divorced,Urban,2
123355,81502.00955766784,13897.307531707871,48715.24815552387,Conservative,92606.20645176426,60,Unemployed,413,Married,Suburban,2
